"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"GME00102268","DUSSELDORF, GM","1970-01-31","0.00","1.2",,"31","17"
"GME00102268","DUSSELDORF, GM","1970-02-01","0.00","0.8",,"27","16"
"GME00102268","DUSSELDORF, GM","1970-02-02","0.63","0.8",,"42","20"
"GME00102268","DUSSELDORF, GM","1970-02-03","0.00","0.0",,"49","38"
"GME00102268","DUSSELDORF, GM","1970-02-04","0.03","0.0",,"44","36"
"GME00102268","DUSSELDORF, GM","1970-02-05","0.68","0.0",,"42","34"
"GME00102268","DUSSELDORF, GM","1970-02-06","0.00","0.0",,"35","27"
"GME00102268","DUSSELDORF, GM","1970-02-07","0.15","0.0",,"40","28"
"GME00102268","DUSSELDORF, GM","1970-02-08","0.31","0.0",,"45","35"
"GME00102268","DUSSELDORF, GM","1970-02-09","0.16","0.0",,"45","36"
"GME00102268","DUSSELDORF, GM","1970-02-10","0.14","0.0",,"39","32"
"GME00102268","DUSSELDORF, GM","1970-02-11","0.03","0.0",,"40","32"
"GME00102268","DUSSELDORF, GM","1970-02-12","0.48","0.0",,"36","31"
"GME00102268","DUSSELDORF, GM","1970-02-13","0.03","2.4",,"33","21"
"GME00102268","DUSSELDORF, GM","1970-02-14","0.00","1.6",,"33","20"
"GME00102268","DUSSELDORF, GM","1970-02-15","0.12","1.6",,"26","13"
"GME00102268","DUSSELDORF, GM","1970-02-16","0.10","2.8",,"33","20"
"GME00102268","DUSSELDORF, GM","1970-02-17","0.20","4.7",,"37","15"
"GME00102268","DUSSELDORF, GM","1970-02-18","0.03","3.9",,"36","23"
"GME00102268","DUSSELDORF, GM","1970-02-19","0.37","4.3",,"36","17"
"GME00102268","DUSSELDORF, GM","1970-02-20","0.09","3.1",,"43","35"
"GME00102268","DUSSELDORF, GM","1970-02-21","0.84","0.0",,"47","36"
"GME00102268","DUSSELDORF, GM","1970-02-22","0.22","0.0",,"51","47"
"GME00102268","DUSSELDORF, GM","1970-02-23","0.11","0.0",,"50","37"
"GME00102268","DUSSELDORF, GM","1970-02-24","0.07","0.0",,"45","36"
"GME00102268","DUSSELDORF, GM","1970-02-25","0.12","0.0",,"43","35"
"GME00102268","DUSSELDORF, GM","1970-02-26","0.01","0.0",,"40","33"
"GME00102268","DUSSELDORF, GM","1970-02-27","0.01","0.0",,"34","29"
"GME00102268","DUSSELDORF, GM","1970-02-28","0.00","0.0",,"32","26"
"GME00102268","DUSSELDORF, GM","1970-03-01","0.36","0.0",,"36","22"
"GME00102268","DUSSELDORF, GM","1970-03-02","0.04","0.0",,"41","29"
"GME00102268","DUSSELDORF, GM","1970-03-03","0.04","0.0",,"41","31"
"GME00102268","DUSSELDORF, GM","1970-03-04","0.00","0.4",,"38","30"
"GME00102268","DUSSELDORF, GM","1970-03-05","0.00","0.0",,"36","26"
"GME00102268","DUSSELDORF, GM","1970-03-06","0.19","0.0",,"41","31"
"GME00102268","DUSSELDORF, GM","1970-03-07","0.15","1.6",,"38","29"
"GME00102268","DUSSELDORF, GM","1970-03-08","0.13","1.6",,"33","29"
"GME00102268","DUSSELDORF, GM","1970-03-09","0.08","3.5",,"39","25"
"GME00102268","DUSSELDORF, GM","1970-03-10","0.00","2.4",,"37","29"
"GME00102268","DUSSELDORF, GM","1970-03-11","0.00","1.2",,"42","21"
"GME00102268","DUSSELDORF, GM","1970-03-12","0.00","0.4",,"48","33"
"GME00102268","DUSSELDORF, GM","1970-03-13","0.00","0.0",,"52","30"
"GME00102268","DUSSELDORF, GM","1970-03-14","0.00","0.0",,"41","33"
"GME00102268","DUSSELDORF, GM","1970-03-15","0.07","0.0",,"40","28"
"GME00102268","DUSSELDORF, GM","1970-03-16","0.01","0.0",,"42","36"
"GME00102268","DUSSELDORF, GM","1970-03-17","0.06","0.0",,"46","40"
"GME00102268","DUSSELDORF, GM","1970-03-18","0.27","0.0",,"49","37"
"GME00102268","DUSSELDORF, GM","1970-03-19","0.12","0.0",,"45","34"
"GME00102268","DUSSELDORF, GM","1970-03-20","0.05","0.0",,"49","32"
"GME00102268","DUSSELDORF, GM","1970-03-21","0.00","0.0",,"54","44"
"GME00102268","DUSSELDORF, GM","1970-03-22","0.04","0.0",,"51","40"
"GME00102268","DUSSELDORF, GM","1970-03-23","0.00","0.0",,"59","36"
"GME00102268","DUSSELDORF, GM","1970-03-24","1.09","0.0",,"56","36"
"GME00102268","DUSSELDORF, GM","1970-03-25","0.02","0.0",,"46","33"
"GME00102268","DUSSELDORF, GM","1970-03-26","0.02","0.0",,"44","28"
"GME00102268","DUSSELDORF, GM","1970-03-27","0.04","0.0",,"42","33"
"GME00102268","DUSSELDORF, GM","1970-03-28","0.07","0.4",,"45","31"
"GME00102268","DUSSELDORF, GM","1970-03-29","0.03","0.0",,"43","32"
"GME00102268","DUSSELDORF, GM","1970-03-30","0.02","0.0",,"51","39"
"GME00102268","DUSSELDORF, GM","1970-03-31","0.36","0.0",,"48","38"
"GME00102268","DUSSELDORF, GM","1970-04-01","0.09","0.0",,"42","36"
"GME00102268","DUSSELDORF, GM","1970-04-02","0.11","0.0",,"42","32"
"GME00102268","DUSSELDORF, GM","1970-04-03","0.00","0.4",,"44","30"
"GME00102268","DUSSELDORF, GM","1970-04-04","0.38","0.0",,"42","30"
"GME00102268","DUSSELDORF, GM","1970-04-05","0.05","0.4",,"42","29"
"GME00102268","DUSSELDORF, GM","1970-04-06","0.26","0.0",,"45","33"
"GME00102268","DUSSELDORF, GM","1970-04-07","0.13","0.0",,"41","32"
"GME00102268","DUSSELDORF, GM","1970-04-08","0.00","0.0",,"45","31"
"GME00102268","DUSSELDORF, GM","1970-04-09","0.04","0.0",,"49","27"
"GME00102268","DUSSELDORF, GM","1970-04-10","0.02","0.0",,"46","31"
"GME00102268","DUSSELDORF, GM","1970-04-11","0.06","0.0",,"49","35"
"GME00102268","DUSSELDORF, GM","1970-04-12","0.07","0.0",,"56","38"
"GME00102268","DUSSELDORF, GM","1970-04-13","0.10","0.0",,"52","43"
"GME00102268","DUSSELDORF, GM","1970-04-14","0.01","0.0",,"45","40"
"GME00102268","DUSSELDORF, GM","1970-04-15","0.27","0.0",,"55","40"
"GME00102268","DUSSELDORF, GM","1970-04-16","0.02","0.0",,"60","48"
"GME00102268","DUSSELDORF, GM","1970-04-17","0.00","0.0",,"67","53"
"GME00102268","DUSSELDORF, GM","1970-04-18","0.00","0.0",,"63","50"
"GME00102268","DUSSELDORF, GM","1970-04-19","0.00","0.0",,"55","44"
"GME00102268","DUSSELDORF, GM","1970-04-20","0.08","0.0",,"52","40"
"GME00102268","DUSSELDORF, GM","1970-04-21","0.16","0.0",,"51","39"
"GME00102268","DUSSELDORF, GM","1970-04-22","0.01","0.0",,"58","51"
"GME00102268","DUSSELDORF, GM","1970-04-23","0.06","0.0",,"57","51"
"GME00102268","DUSSELDORF, GM","1970-04-24","0.10","0.0",,"55","47"
"GME00102268","DUSSELDORF, GM","1970-04-25","0.27","0.0",,"57","47"
"GME00102268","DUSSELDORF, GM","1970-04-26","0.15","0.0",,"50","43"
"GME00102268","DUSSELDORF, GM","1970-04-27","0.17","0.0",,"49","41"
"GME00102268","DUSSELDORF, GM","1970-04-28","0.11","0.0",,"51","34"
"GME00102268","DUSSELDORF, GM","1970-04-29","0.37","0.0",,"47","34"
"GME00102268","DUSSELDORF, GM","1970-04-30","0.03","0.0",,"49","38"
"GME00102268","DUSSELDORF, GM","1970-05-01","0.00","0.0",,"51","36"
"GME00102268","DUSSELDORF, GM","1970-05-02","0.36","0.0",,"48","39"
"GME00102268","DUSSELDORF, GM","1970-05-03","0.00","0.0",,"58","47"
"GME00102268","DUSSELDORF, GM","1970-05-04","0.00","0.0",,"67","47"
"GME00102268","DUSSELDORF, GM","1970-05-05","0.00","0.0",,"71","47"
"GME00102268","DUSSELDORF, GM","1970-05-06","0.00","0.0",,"73","45"
"GME00102268","DUSSELDORF, GM","1970-05-07","0.00","0.0",,"73","56"
"GME00102268","DUSSELDORF, GM","1970-05-08","0.23","0.0",,"76","46"
"GME00102268","DUSSELDORF, GM","1970-05-09","0.00","0.0",,"70","55"
"GME00102268","DUSSELDORF, GM","1970-05-10","0.00","0.0",,"72","51"
"GME00102268","DUSSELDORF, GM","1970-05-11","0.00","0.0",,"71","55"
"GME00102268","DUSSELDORF, GM","1970-05-12","0.02","0.0",,"71","54"
"GME00102268","DUSSELDORF, GM","1970-05-13","0.18","0.0",,"63","49"
"GME00102268","DUSSELDORF, GM","1970-05-14","0.00","0.0",,"69","46"
"GME00102268","DUSSELDORF, GM","1970-05-15","0.03","0.0",,"65","50"
"GME00102268","DUSSELDORF, GM","1970-05-16","0.09","0.0",,"64","53"
"GME00102268","DUSSELDORF, GM","1970-05-17","0.26","0.0",,"59","51"
"GME00102268","DUSSELDORF, GM","1970-05-18","0.00","0.0",,"69","42"
"GME00102268","DUSSELDORF, GM","1970-05-19","0.02","0.0",,"68","46"
"GME00102268","DUSSELDORF, GM","1970-05-20","0.00","0.0",,"61","48"
"GME00102268","DUSSELDORF, GM","1970-05-21","0.25","0.0",,"58","45"
"GME00102268","DUSSELDORF, GM","1970-05-22","0.02","0.0",,"56","41"
"GME00102268","DUSSELDORF, GM","1970-05-23","0.00","0.0",,"59","36"
"GME00102268","DUSSELDORF, GM","1970-05-24","0.00","0.0",,"67","44"
"GME00102268","DUSSELDORF, GM","1970-05-25","0.00","0.0",,"72","52"
"GME00102268","DUSSELDORF, GM","1970-05-26","0.02","0.0",,"66","45"
"GME00102268","DUSSELDORF, GM","1970-05-27","0.00","0.0",,"55","48"
"GME00102268","DUSSELDORF, GM","1970-05-28","0.00","0.0",,"68","48"
"GME00102268","DUSSELDORF, GM","1970-05-29","0.24","0.0",,"71","47"
"GME00102268","DUSSELDORF, GM","1970-05-30","0.05","0.0",,"64","51"
"GME00102268","DUSSELDORF, GM","1970-05-31","0.02","0.0",,"66","51"
"GME00102268","DUSSELDORF, GM","1970-06-01","0.01","0.0",,"65","47"
"GME00102268","DUSSELDORF, GM","1970-06-02","0.00","0.0",,"63","41"
"GME00102268","DUSSELDORF, GM","1970-06-03","0.00","0.0",,"67","42"
"GME00102268","DUSSELDORF, GM","1970-06-04","0.00","0.0",,"68","47"
"GME00102268","DUSSELDORF, GM","1970-06-05","0.00","0.0",,"68","48"
"GME00102268","DUSSELDORF, GM","1970-06-06","0.00","0.0",,"78","51"
"GME00102268","DUSSELDORF, GM","1970-06-07","0.00","0.0",,"82","55"
"GME00102268","DUSSELDORF, GM","1970-06-08","0.00","0.0",,"84","56"
"GME00102268","DUSSELDORF, GM","1970-06-09","0.29","0.0",,"82","59"
"GME00102268","DUSSELDORF, GM","1970-06-10","0.25","0.0",,"81","56"
"GME00102268","DUSSELDORF, GM","1970-06-11","0.00","0.0",,"81","57"
"GME00102268","DUSSELDORF, GM","1970-06-12","0.00","0.0",,"76","55"
"GME00102268","DUSSELDORF, GM","1970-06-13","0.00","0.0",,"72","46"
"GME00102268","DUSSELDORF, GM","1970-06-14","0.00","0.0",,"69","45"
"GME00102268","DUSSELDORF, GM","1970-06-15","0.00","0.0",,"70","44"
"GME00102268","DUSSELDORF, GM","1970-06-16","0.04","0.0",,"72","47"
"GME00102268","DUSSELDORF, GM","1970-06-17","0.06","0.0",,"79","58"
"GME00102268","DUSSELDORF, GM","1970-06-18","0.00","0.0",,"79","56"
"GME00102268","DUSSELDORF, GM","1970-06-19","0.00","0.0",,"79","56"
"GME00102268","DUSSELDORF, GM","1970-06-20","0.00","0.0",,"83","60"
"GME00102268","DUSSELDORF, GM","1970-06-21","0.00","0.0",,"85","58"
"GME00102268","DUSSELDORF, GM","1970-06-22","0.00","0.0",,"84","61"
"GME00102268","DUSSELDORF, GM","1970-06-23","0.19","0.0",,"79","61"
"GME00102268","DUSSELDORF, GM","1970-06-24","0.06","0.0",,"72","53"
"GME00102268","DUSSELDORF, GM","1970-06-25","0.00","0.0",,"72","62"
"GME00102268","DUSSELDORF, GM","1970-06-26","0.00","0.0",,"78","50"
"GME00102268","DUSSELDORF, GM","1970-06-27","0.04","0.0",,"89","58"
"GME00102268","DUSSELDORF, GM","1970-06-28","0.20","0.0",,"70","58"
"GME00102268","DUSSELDORF, GM","1970-06-29","0.67","0.0",,"65","50"
"GME00102268","DUSSELDORF, GM","1970-06-30","0.04","0.0",,"61","49"
"GME00102268","DUSSELDORF, GM","1970-07-01","0.16","0.0",,"64","53"
"GME00102268","DUSSELDORF, GM","1970-07-02","0.50","0.0",,"63","49"
"GME00102268","DUSSELDORF, GM","1970-07-03","0.11","0.0",,"62","53"
"GME00102268","DUSSELDORF, GM","1970-07-04","0.01","0.0",,"65","51"
"GME00102268","DUSSELDORF, GM","1970-07-05","0.00","0.0",,"67","56"
"GME00102268","DUSSELDORF, GM","1970-07-06","0.00","0.0",,"78","60"
"GME00102268","DUSSELDORF, GM","1970-07-07","0.00","0.0",,"85","60"
"GME00102268","DUSSELDORF, GM","1970-07-08","0.24","0.0",,"83","60"
"GME00102268","DUSSELDORF, GM","1970-07-09","0.18","0.0",,"78","62"
"GME00102268","DUSSELDORF, GM","1970-07-10","0.00","0.0",,"71","56"
"GME00102268","DUSSELDORF, GM","1970-07-11","0.00","0.0",,"70","58"
"GME00102268","DUSSELDORF, GM","1970-07-12","0.00","0.0",,"77","53"
"GME00102268","DUSSELDORF, GM","1970-07-13","0.00","0.0",,"81","58"
"GME00102268","DUSSELDORF, GM","1970-07-14","0.71","0.0",,"68","51"
"GME00102268","DUSSELDORF, GM","1970-07-15","0.57","0.0",,"60","50"
"GME00102268","DUSSELDORF, GM","1970-07-16","0.00","0.0",,"60","51"
"GME00102268","DUSSELDORF, GM","1970-07-17","0.00","0.0",,"64","51"
"GME00102268","DUSSELDORF, GM","1970-07-18","0.00","0.0",,"67","48"
"GME00102268","DUSSELDORF, GM","1970-07-19","0.28","0.0",,"65","52"
"GME00102268","DUSSELDORF, GM","1970-07-20","0.11","0.0",,"63","52"
"GME00102268","DUSSELDORF, GM","1970-07-21","0.02","0.0",,"67","49"
"GME00102268","DUSSELDORF, GM","1970-07-22","0.00","0.0",,"69","49"
"GME00102268","DUSSELDORF, GM","1970-07-23","0.00","0.0",,"76","49"
"GME00102268","DUSSELDORF, GM","1970-07-24","0.36","0.0",,"76","58"
"GME00102268","DUSSELDORF, GM","1970-07-25","0.27","0.0",,"64","56"
"GME00102268","DUSSELDORF, GM","1970-07-26","0.12","0.0",,"67","54"
"GME00102268","DUSSELDORF, GM","1970-07-27","0.00","0.0",,"72","57"
"GME00102268","DUSSELDORF, GM","1970-07-28","0.84","0.0",,"81","63"
"GME00102268","DUSSELDORF, GM","1970-07-29","0.00","0.0",,"72","61"
"GME00102268","DUSSELDORF, GM","1970-07-30","0.00","0.0",,"76","52"
"GME00102268","DUSSELDORF, GM","1970-07-31","0.00","0.0",,"80","55"
"GME00102268","DUSSELDORF, GM","1970-08-01","0.00","0.0",,"81","56"
"GME00102268","DUSSELDORF, GM","1970-08-02","0.00","0.0",,"81","62"
"GME00102268","DUSSELDORF, GM","1970-08-03","0.00","0.0",,"78","60"
"GME00102268","DUSSELDORF, GM","1970-08-04","0.00","0.0",,"81","59"
"GME00102268","DUSSELDORF, GM","1970-08-05","0.31","0.0",,"82","59"
"GME00102268","DUSSELDORF, GM","1970-08-06","0.00","0.0",,"83","60"
"GME00102268","DUSSELDORF, GM","1970-08-07","0.82","0.0",,"75","64"
"GME00102268","DUSSELDORF, GM","1970-08-08","0.17","0.0",,"72","61"
"GME00102268","DUSSELDORF, GM","1970-08-09","0.00","0.0",,"68","58"
"GME00102268","DUSSELDORF, GM","1970-08-10","0.38","0.0",,"67","57"
"GME00102268","DUSSELDORF, GM","1970-08-11","0.15","0.0",,"69","57"
"GME00102268","DUSSELDORF, GM","1970-08-12","0.00","0.0",,"70","48"
"GME00102268","DUSSELDORF, GM","1970-08-13","0.01","0.0",,"79","52"
"GME00102268","DUSSELDORF, GM","1970-08-14","0.00","0.0",,"72","61"
"GME00102268","DUSSELDORF, GM","1970-08-15","0.00","0.0",,"72","48"
"GME00102268","DUSSELDORF, GM","1970-08-16","0.23","0.0",,"70","57"
"GME00102268","DUSSELDORF, GM","1970-08-17","0.00","0.0",,"66","52"
"GME00102268","DUSSELDORF, GM","1970-08-18","0.02","0.0",,"68","51"
"GME00102268","DUSSELDORF, GM","1970-08-19","0.01","0.0",,"76","55"
"GME00102268","DUSSELDORF, GM","1970-08-20","0.00","0.0",,"70","62"
"GME00102268","DUSSELDORF, GM","1970-08-21","0.00","0.0",,"71","55"
"GME00102268","DUSSELDORF, GM","1970-08-22","0.00","0.0",,"68","52"
"GME00102268","DUSSELDORF, GM","1970-08-23","0.04","0.0",,"61","53"
"GME00102268","DUSSELDORF, GM","1970-08-24","0.00","0.0",,"74","57"
"GME00102268","DUSSELDORF, GM","1970-08-25","0.00","0.0",,"72","54"
"GME00102268","DUSSELDORF, GM","1970-08-26","0.00","0.0",,"76","48"
"GME00102268","DUSSELDORF, GM","1970-08-27","0.00","0.0",,"76","56"
"GME00102268","DUSSELDORF, GM","1970-08-28","0.00","0.0",,"75","51"
"GME00102268","DUSSELDORF, GM","1970-08-29","0.00","0.0",,"80","51"
"GME00102268","DUSSELDORF, GM","1970-08-30","0.00","0.0",,"78","56"
"GME00102268","DUSSELDORF, GM","1970-08-31","0.02","0.0",,"77","52"
"GME00102268","DUSSELDORF, GM","1970-09-01","0.00","0.0",,"70","57"
"GME00102268","DUSSELDORF, GM","1970-09-02","0.00","0.0",,"70","48"
"GME00102268","DUSSELDORF, GM","1970-09-03","0.09","0.0",,"72","60"
"GME00102268","DUSSELDORF, GM","1970-09-04","0.00","0.0",,"66","56"
"GME00102268","DUSSELDORF, GM","1970-09-05","0.00","0.0",,"71","58"
"GME00102268","DUSSELDORF, GM","1970-09-06","0.00","0.0",,"70","53"
"GME00102268","DUSSELDORF, GM","1970-09-07","0.00","0.0",,"72","44"
"GME00102268","DUSSELDORF, GM","1970-09-08","0.09","0.0",,"75","62"
"GME00102268","DUSSELDORF, GM","1970-09-09","0.00","0.0",,"72","60"
"GME00102268","DUSSELDORF, GM","1970-09-10","0.23","0.0",,"62","57"
"GME00102268","DUSSELDORF, GM","1970-09-11","0.08","0.0",,"65","54"
"GME00102268","DUSSELDORF, GM","1970-09-12","0.19","0.0",,"64","54"
"GME00102268","DUSSELDORF, GM","1970-09-13","0.24","0.0",,"63","53"
"GME00102268","DUSSELDORF, GM","1970-09-14","0.14","0.0",,"63","54"
"GME00102268","DUSSELDORF, GM","1970-09-15","0.36","0.0",,"71","60"
"GME00102268","DUSSELDORF, GM","1970-09-16","0.26","0.0",,"63","49"
"GME00102268","DUSSELDORF, GM","1970-09-17","0.00","0.0",,"63","49"
"GME00102268","DUSSELDORF, GM","1970-09-18","0.00","0.0",,"73","52"
"GME00102268","DUSSELDORF, GM","1970-09-19","0.00","0.0",,"76","54"
"GME00102268","DUSSELDORF, GM","1970-09-20","0.00","0.0",,"73","55"
"GME00102268","DUSSELDORF, GM","1970-09-21","0.00","0.0",,"70","52"
"GME00102268","DUSSELDORF, GM","1970-09-22","0.00","0.0",,"63","47"
"GME00102268","DUSSELDORF, GM","1970-09-23","0.00","0.0",,"61","38"
"GME00102268","DUSSELDORF, GM","1970-09-24","0.00","0.0",,"63","37"
"GME00102268","DUSSELDORF, GM","1970-09-25","0.00","0.0",,"70","48"
"GME00102268","DUSSELDORF, GM","1970-09-26","0.00","0.0",,"74","50"
"GME00102268","DUSSELDORF, GM","1970-09-27","0.00","0.0",,"74","56"
"GME00102268","DUSSELDORF, GM","1970-09-28","0.00","0.0",,"72","54"
"GME00102268","DUSSELDORF, GM","1970-09-29","0.35","0.0",,"71","52"
"GME00102268","DUSSELDORF, GM","1970-09-30","0.20","0.0",,"62","55"
"GME00102268","DUSSELDORF, GM","1970-10-01","0.19","0.0",,"59","51"
"GME00102268","DUSSELDORF, GM","1970-10-02","0.68","0.0",,"60","45"
"GME00102268","DUSSELDORF, GM","1970-10-03","0.20","0.0",,"54","44"
"GME00102268","DUSSELDORF, GM","1970-10-04","0.17","0.0",,"53","48"
"GME00102268","DUSSELDORF, GM","1970-10-05","0.00","0.0",,"62","52"
"GME00102268","DUSSELDORF, GM","1970-10-06","0.31","0.0",,"65","54"
"GME00102268","DUSSELDORF, GM","1970-10-07","0.01","0.0",,"57","52"
"GME00102268","DUSSELDORF, GM","1970-10-08","0.02","0.0",,"60","50"
"GME00102268","DUSSELDORF, GM","1970-10-09","0.01","0.0",,"59","47"
"GME00102268","DUSSELDORF, GM","1970-10-10","0.00","0.0",,"70","49"
"GME00102268","DUSSELDORF, GM","1970-10-11","0.00","0.0",,"79","52"
"GME00102268","DUSSELDORF, GM","1970-10-12","0.00","0.0",,"63","49"
"GME00102268","DUSSELDORF, GM","1970-10-13","0.00","0.0",,"59","54"
"GME00102268","DUSSELDORF, GM","1970-10-14","0.00","0.0",,"58","47"
"GME00102268","DUSSELDORF, GM","1970-10-15","0.00","0.0",,"56","42"
"GME00102268","DUSSELDORF, GM","1970-10-16","0.00","0.0",,"58","34"
"GME00102268","DUSSELDORF, GM","1970-10-17","0.00","0.0",,"60","36"
"GME00102268","DUSSELDORF, GM","1970-10-18","0.00","0.0",,"59","41"
"GME00102268","DUSSELDORF, GM","1970-10-19","0.33","0.0",,"55","47"
"GME00102268","DUSSELDORF, GM","1970-10-20","0.25","0.0",,"49","41"
"GME00102268","DUSSELDORF, GM","1970-10-21","0.01","0.0",,"54","42"
"GME00102268","DUSSELDORF, GM","1970-10-22","0.00","0.0",,"53","42"
"GME00102268","DUSSELDORF, GM","1970-10-23","0.00","0.0",,"53","37"
"GME00102268","DUSSELDORF, GM","1970-10-24","0.10","0.0",,"51","37"
"GME00102268","DUSSELDORF, GM","1970-10-25","0.05","0.0",,"53","49"
"GME00102268","DUSSELDORF, GM","1970-10-26","0.15","0.0",,"52","47"
"GME00102268","DUSSELDORF, GM","1970-10-27","0.18","0.0",,"53","41"
"GME00102268","DUSSELDORF, GM","1970-10-28","0.20","0.0",,"56","47"
"GME00102268","DUSSELDORF, GM","1970-10-29","0.01","0.0",,"59","50"
"GME00102268","DUSSELDORF, GM","1970-10-30","0.00","0.0",,"58","50"
"GME00102268","DUSSELDORF, GM","1970-10-31","0.03","0.0",,"58","52"
"GME00102268","DUSSELDORF, GM","1970-11-01","0.17","0.0",,"58","53"
"GME00102268","DUSSELDORF, GM","1970-11-02","0.60","0.0",,"58","50"
"GME00102268","DUSSELDORF, GM","1970-11-03","0.09","0.0",,"60","53"
"GME00102268","DUSSELDORF, GM","1970-11-04","0.04","0.0",,"54","46"
"GME00102268","DUSSELDORF, GM","1970-11-05","0.11","0.0",,"54","46"
"GME00102268","DUSSELDORF, GM","1970-11-06","0.00","0.0",,"51","41"
"GME00102268","DUSSELDORF, GM","1970-11-07","0.00","0.0",,"48","39"
"GME00102268","DUSSELDORF, GM","1970-11-08","0.03","0.0",,"43","30"
"GME00102268","DUSSELDORF, GM","1970-11-09","0.27","0.0",,"51","40"
"GME00102268","DUSSELDORF, GM","1970-11-10","0.08","0.0",,"50","43"
"GME00102268","DUSSELDORF, GM","1970-11-11","0.03","0.0",,"56","43"
"GME00102268","DUSSELDORF, GM","1970-11-12","0.17","0.0",,"57","42"
"GME00102268","DUSSELDORF, GM","1970-11-13","0.00","0.0",,"47","41"
"GME00102268","DUSSELDORF, GM","1970-11-14","0.00","0.0",,"48","38"
"GME00102268","DUSSELDORF, GM","1970-11-15","0.08","0.0",,"45","38"
"GME00102268","DUSSELDORF, GM","1970-11-16","0.15","0.0",,"44","35"
"GME00102268","DUSSELDORF, GM","1970-11-17","0.13","0.0",,"45","36"
"GME00102268","DUSSELDORF, GM","1970-11-18","0.20","0.0",,"57","43"
"GME00102268","DUSSELDORF, GM","1970-11-19","0.00","0.0",,"60","47"
"GME00102268","DUSSELDORF, GM","1970-11-20","0.14","0.0",,"50","40"
"GME00102268","DUSSELDORF, GM","1970-11-21","0.09","0.0",,"51","44"
"GME00102268","DUSSELDORF, GM","1970-11-22","0.14","0.0",,"45","36"
"GME00102268","DUSSELDORF, GM","1970-11-23","0.00","0.0",,"47","37"
"GME00102268","DUSSELDORF, GM","1970-11-24","0.00","0.0",,"54","43"
"GME00102268","DUSSELDORF, GM","1970-11-25","0.00","0.0",,"53","43"
"GME00102268","DUSSELDORF, GM","1970-11-26","0.00","0.0",,"54","39"
"GME00102268","DUSSELDORF, GM","1970-11-27","0.00","0.0",,"54","35"
"GME00102268","DUSSELDORF, GM","1970-11-28","0.00","0.0",,"48","41"
"GME00102268","DUSSELDORF, GM","1970-11-29","0.03","0.0",,"57","43"
"GME00102268","DUSSELDORF, GM","1970-11-30","0.05","0.0",,"57","47"
"GME00102268","DUSSELDORF, GM","1970-12-01","0.20","0.0",,"49","45"
"GME00102268","DUSSELDORF, GM","1970-12-02","0.24","0.0",,"47","40"
"GME00102268","DUSSELDORF, GM","1970-12-03","0.09","0.0",,"52","39"
"GME00102268","DUSSELDORF, GM","1970-12-04","0.37","0.0",,"48","38"
"GME00102268","DUSSELDORF, GM","1970-12-05","0.00","0.0",,"52","40"
